;Imbalance ratio (IR);Average Complexity Score (CS);Individual complexity metrics;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset Name;IR;avg. CS;f1;f1v;f2;f3;f4;l1;l2;l3;n1;n2;n3;n4;t1;lsc;density;clsCoef;hubs;t2;t3;t4;c1;c2;;;;;;
2017QUT S7comm (Rodofile) ;11,50;0,368;0,824;0,24;0,017;0,914;0,654;0,137;0,079;0,079;0,01;0,828;0,015;0,061;0,03;0,939;0,843;0,234;0,621;0,007;0,001;0,143;0,601;0,83;;;;;;
A Industry 4.0 Production Line Dataset;1,04;0,321;0,523;0,342;0,618;0,547;0,537;0,326;0,479;0,47;0,022;0,5;0,033;0,064;0,076;0,781;0,686;0,046;0,604;0,01;0,004;0,4;0;0,001;;;;;;
DNP3 Intrusion Detection;1,00;0,075;0;0;0;0;0;0;0;0;0;0,039;0;0;0,002;0,5;0,501;0;0,5;0,01;0,001;0,1;0;0;;;;;;
Edge-IIoT ;3,44;0,284;0,242;0,021;0;0,272;0,272;0,543;0,269;0,306;0,034;0,557;0,044;0,195;0,151;0,963;0,883;0,112;0,784;0,01;0,001;0,1;0,156;0,344;;;;;;
Electra Modbus & S7comm ;5,67; 0.341; 0.141; 0.942;0; 0.155;0; 0.565; 0.22; 0.85; 0.094; 0.737; 0.172; 0.19; 0.235; 0.988; 0.542; 0.152; 0.361; 0.009; 0.001; 0.111; 0.39; 0.658;;;;;;
HAI ;32,33;0,371;0,846;0,093;0;0,886;0,649;0,044;0,024;0,025;0,012;0,942;0,013;0,036;0,032;0,952;0,824;0,217;0,714;0,01;0,001;0,1;0,806;0,938;;;;;;
HDGM ;1,00;0,479;0,994;0,956;0,085;0,994;0,959;0,996;0,493;0,5;0,194;0,5;0,386;0,463;0,648;0,997;0,537;0,008;0,518;0,01;0,003;0,3;0;0;;;;;;
ICS Gas Pipeline;99,00;0,251;0,324;0,001;0;0,498;0;0,028;0,01;0,01;0,002;0,979;0,001;0,18;0,005;0,511;0,51;0,001;0,499;0,026;0,001;0,038;0,919;0,98;;;;;;
ICS Gas Pipeline & WaterStorage Tank ;32,33;0,44;0,963;0,448;0;0,722;0,641;0,057;0,03;0,893;0,018;0,967;0,03;0,03;0,647;0,955;0,76;0,003;0,656;0,01;0,001;0,1;0,806;0,939;;;;;;
ICS New Gas Pipeline;3,57;0,43;0,926;0,655;0;0,973;0,956;0,305;0,219;0,219;0,15;0,656;0,282;0,26;0,454;0,996;0,794;0,097;0,682;0,01;0,001;0,1;0,241;0,479;;;;;;
IEC 60870-5-104 ;99,00;0,274;0,734;0,008;0;0,01;0,01;0,808;0,057;0,032;0,002;0,98;0,001;0,022;0,006;0,366;0,482;0,071;0,323;0,01;0,002;0,2;0,919;0,98;;;;;;
ISOT ;19,00;0,298;0,88;0,042;0;0,334;0;0,029;0,034;0,02;0,013;0,921;0,023;0,12;0,058;0,907;0,689;0,1;0,521;0,01;0,002;0,2;0,735;0,906;;;;;;
TON IoT;5,67;0,397;0,623;0,26;0,445;0,555;0,472;0,673;0,364;0,15;0,065;0,654;0,125;0,144;0,169;0,821;0,859;0,214;0,766;0,003;0,001;0,333;0,39;0,658;;;;;;
WADI ;15,67;0,364109826;0,837;0,24;0,001;0,594;0,288;0,485;0,06;0,06;0,022;0,885;0,03;0,097;0,089;0,933;0,841;0,223;0,669;0,01;0,001;0,1;0,673;0,873;;;;;;
WUSTL-IIOT-2018 ICS (SCADA);15,67;0,211;0,734;0,009;0;0,063;0;0,003;0,002;0,002;0,004;0,78;0,004;0,022;0,02;0,837;0,135;0;0,072;0,005;0,002;0,4;0,673;0,873;;;;;;
WUSTL-IIOT-2021 ;6,69;0,211;0,195;0;0;0;0;0,121;0,08;0,11;0,076;0,669;0,153;0,111;0,209;0,986;0,389;0,049;0,239;0,01;0,001;0,1;0,443;0,708;;;;;;
X-IIOTID ;1,04;0,367;0,69;0,203;0;0,51;0,51;0,838;0,367;0,492;0,05;0,486;0,07;0,258;0,173;0,975;0,958;0,182;0,892;0,01;0,004;0,4;0;0,001;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
